2025-04-18 17:48:15 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174815&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=cbe8892f11fcc5f10cda083277a676d88ef5587f03d7282440191d157b1e8c1f6712e67a672dba749e8ae62dc1d256898fb522b863868c01dec1ff393e8ea6ee
2025-04-18 17:48:15 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174815&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=cbe8892f11fcc5f10cda083277a676d88ef5587f03d7282440191d157b1e8c1f6712e67a672dba749e8ae62dc1d256898fb522b863868c01dec1ff393e8ea6ee
2025-04-18 17:48:15 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174815&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=cbe8892f11fcc5f10cda083277a676d88ef5587f03d7282440191d157b1e8c1f6712e67a672dba749e8ae62dc1d256898fb522b863868c01dec1ff393e8ea6ee
2025-04-18 17:48:15 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174815&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=cbe8892f11fcc5f10cda083277a676d88ef5587f03d7282440191d157b1e8c1f6712e67a672dba749e8ae62dc1d256898fb522b863868c01dec1ff393e8ea6ee
2025-04-18 17:48:15 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174815&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=cbe8892f11fcc5f10cda083277a676d88ef5587f03d7282440191d157b1e8c1f6712e67a672dba749e8ae62dc1d256898fb522b863868c01dec1ff393e8ea6ee
2025-04-18 17:48:15 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174815&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=cbe8892f11fcc5f10cda083277a676d88ef5587f03d7282440191d157b1e8c1f6712e67a672dba749e8ae62dc1d256898fb522b863868c01dec1ff393e8ea6ee
2025-04-18 17:48:15 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174815&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=cbe8892f11fcc5f10cda083277a676d88ef5587f03d7282440191d157b1e8c1f6712e67a672dba749e8ae62dc1d256898fb522b863868c01dec1ff393e8ea6ee
2025-04-18 17:48:15 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174815&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=cbe8892f11fcc5f10cda083277a676d88ef5587f03d7282440191d157b1e8c1f6712e67a672dba749e8ae62dc1d256898fb522b863868c01dec1ff393e8ea6ee
2025-04-18 17:48:15 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174815&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=cbe8892f11fcc5f10cda083277a676d88ef5587f03d7282440191d157b1e8c1f6712e67a672dba749e8ae62dc1d256898fb522b863868c01dec1ff393e8ea6ee
2025-04-18 17:48:15 | Order ID: BUG2504187FCAB | Amount: 800000 | URL: ?vnp_Amount=80000000&vnp_Command=pay&vnp_CreateDate=20250418174815&vnp_CurrCode=VND&vnp_IpAddr=%3A%3A1&vnp_Locale=vn&vnp_OrderInfo=Thanh+toan+don+hang+BUG2504187FCAB+tai+Bug+Shop&vnp_OrderType=other&vnp_ReturnUrl=&vnp_TmnCode=&vnp_TxnRef=BUG2504187FCAB&vnp_Version=2.1.0&vnp_SecureHash=cbe8892f11fcc5f10cda083277a676d88ef5587f03d7282440191d157b1e8c1f6712e67a672dba749e8ae62dc1d256898fb522b863868c01dec1ff393e8ea6ee
